,crop_name,soil_type,crop_age_days,day_of_year,temperature_C,humidity_%,rainfall_mm,effective_rainfall_mm,solar_radiation_MJ_m2_day,wind_speed_m_s,field_capacity_%,wilting_point_%,soil_moisture_%,reference_evapotranspiration_ET0_mm_day,crop_coefficient_Kc,application_efficiency_%,root_zone_depth_m,available_water_content_mm_per_m,irrigation_interval_days,p_fraction,irrigate,irrigation_amount_m3
2952,Rice,Loamy,47,290,32.95,63.55,0.08,0.04,12.88,0.99,31.12,17.37,24.61,2.566,1.136,80.46,0.42,172.44,2,0.42,0,0.0
1350,Wheat,Silty,78,273,32.46,66.1,5.96,5.88,19.0,4.81,26.41,13.68,23.25,2.697,0.742,62.57,0.588,118.7,3,0.581,0,0.0
1082,Maize,Sandy,21,200,31.7,47.29,8.29,5.98,18.65,3.5,26.24,12.39,16.39,3.035,0.716,80.69,0.621,101.3,8,0.319,1,286.0079
6453,Rice,Sandy,79,153,33.62,51.01,1.91,1.24,8.73,0.56,21.21,12.34,15.6,2.162,0.982,63.03,0.759,105.55,1,0.344,1,282.6189
1811,Maize,Loamy,115,344,24.94,90.65,3.86,3.27,11.57,4.14,31.27,16.02,24.18,2.147,0.54,67.17,0.573,157.71,9,0.309,0,0.0
4121,Tomato,Sandy,29,249,16.92,41.19,0.05,0.04,22.39,1.16,29.01,13.46,20.09,2.027,0.855,68.66,0.833,111.91,10,0.548,1,427.3486
1351,Wheat,Loamy,25,51,33.36,69.23,1.17,0.59,13.72,2.82,37.48,16.72,31.59,2.853,0.85,88.09,0.333,145.34,8,0.309,1,86.9645
7817,Rice,Clayey,83,134,24.92,64.24,1.02,0.46,28.54,3.58,37.28,22.4,27.73,2.098,0.945,74.88,0.891,110.58,9,0.491,1,507.3425
8796,Wheat,Silty,52,218,19.63,40.16,1.55,1.05,26.76,0.81,25.88,15.83,20.29,2.583,1.028,76.15,0.97,124.7,3,0.324,0,0.0
1894,Maize,Sandy,3,322,20.79,72.1,0.09,0.05,25.87,4.41,21.72,13.24,14.84,2.546,0.36,73.33,0.973,165.75,3,0.486,1,374.5877
6639,Wheat,Silty,25,34,31.97,90.6,5.68,3.83,26.83,4.88,31.15,17.8,24.54,3.263,0.85,86.67,0.866,172.05,2,0.53,0,0.0
565,Rice,Sandy,15,132,34.49,32.69,3.88,2.69,8.69,0.95,21.31,9.84,16.63,2.0,0.736,77.31,1.115,113.57,10,0.481,0,0.0
3903,Maize,Sandy,86,127,28.31,37.17,1.03,0.9,24.95,4.89,20.5,12.06,15.73,2.634,0.864,80.1,1.184,81.92,5,0.414,1,301.4929
7100,Wheat,Sandy,65,64,16.22,40.26,4.01,3.58,14.68,4.24,29.2,9.2,11.77,2.643,0.885,87.44,0.401,98.93,5,0.53,1,353.7445
3673,Rice,Clayey,43,265,23.0,57.59,3.63,3.15,29.42,1.75,42.69,24.82,38.5,2.524,1.104,80.72,0.308,128.14,5,0.365,0,0.0
4366,Maize,Loamy,79,362,24.89,38.75,6.52,4.22,22.4,3.11,32.46,15.96,17.7,2.223,0.941,81.79,0.436,135.63,7,0.36,1,325.619
7545,Wheat,Clayey,38,177,36.65,52.97,0.34,0.2,6.04,4.5,35.18,18.23,23.86,2.42,0.954,67.17,0.583,136.32,4,0.495,1,409.1998
1212,Rice,Silty,16,338,15.13,68.91,0.77,0.38,13.06,4.03,30.07,14.35,26.01,2.0,0.758,82.5,0.61,130.74,9,0.355,0,0.0
1189,Wheat,Sandy,46,159,25.42,37.81,1.49,1.4,7.27,2.48,24.77,8.74,14.33,2.0,1.018,73.19,0.378,172.5,6,0.388,1,201.6011
3955,Rice,Silty,90,248,34.69,71.25,0.57,0.28,13.02,4.0,31.0,12.31,27.62,2.0,0.882,66.4,0.834,106.07,7,0.356,0,0.0
898,Tomato,Silty,19,181,37.22,74.3,5.89,5.13,22.94,0.62,26.09,13.18,19.54,2.765,0.699,81.61,1.087,159.74,3,0.541,0,0.0
4786,Wheat,Sandy,45,119,25.65,41.25,2.94,1.38,13.03,3.76,26.89,10.76,19.66,2.82,1.01,64.72,0.496,96.01,1,0.46,1,211.2385
8092,Wheat,Clayey,80,35,37.28,87.06,1.79,1.12,27.3,2.42,42.75,20.16,42.67,4.061,0.72,84.87,0.543,136.42,2,0.489,0,0.0
4602,Maize,Silty,81,3,29.87,91.66,3.2,3.09,26.86,2.45,31.22,16.15,22.82,2.0,0.919,74.87,0.503,176.32,8,0.354,1,205.9687
8896,Rice,Loamy,34,178,22.88,91.96,6.64,3.56,9.67,4.93,35.42,15.24,35.42,2.039,1.032,67.76,1.143,150.23,2,0.428,0,0.0
3454,Tomato,Loamy,26,175,31.26,78.35,5.1,2.94,7.9,1.99,37.08,18.1,32.71,2.827,0.832,86.25,0.36,158.23,8,0.369,0,0.0
3609,Wheat,Silty,48,260,34.14,65.81,3.75,2.63,13.78,2.33,26.11,13.77,21.39,3.078,1.034,78.94,1.03,96.68,10,0.386,1,211.8455
8157,Wheat,Loamy,112,333,29.78,59.62,5.31,3.79,18.87,4.83,30.34,18.66,24.54,3.018,0.45,75.18,0.325,119.16,8,0.409,1,96.5276
8765,Wheat,Sandy,9,273,17.46,81.26,3.84,1.98,26.22,1.74,29.37,8.79,20.64,2.159,0.502,65.15,1.012,129.35,3,0.559,0,0.0
9677,Tomato,Silty,91,103,25.58,67.55,6.09,5.2,24.19,2.31,29.86,12.52,15.41,2.969,0.77,71.23,0.727,170.12,7,0.588,1,675.5934
7572,Maize,Loamy,46,129,15.5,85.28,0.77,0.5,18.96,4.66,33.34,15.06,33.0,2.0,1.031,66.27,0.625,120.66,4,0.585,0,0.0
3909,Maize,Silty,23,331,31.19,40.99,2.45,1.87,15.81,4.89,32.06,13.87,18.17,2.069,0.756,75.72,0.471,174.6,5,0.313,1,333.915
4028,Wheat,Sandy,10,102,37.99,47.61,3.61,1.94,29.55,2.71,25.19,12.3,15.46,4.01,0.53,75.63,0.944,128.5,1,0.441,1,508.6071
3931,Maize,Sandy,33,40,37.94,50.79,0.63,0.44,24.31,2.52,21.76,13.0,15.74,3.121,0.92,81.89,0.475,98.6,8,0.497,1,145.7302
2332,Rice,Loamy,5,165,23.8,60.41,1.79,1.58,18.78,3.07,32.33,19.45,25.66,2.0,0.512,73.0,0.585,101.33,3,0.443,1,219.7122
7302,Maize,Sandy,31,46,32.34,47.53,5.91,5.09,24.51,4.09,24.79,14.46,15.28,2.92,0.903,70.54,0.794,101.75,2,0.331,1,386.8122
2262,Rice,Sandy,86,74,31.48,81.56,3.55,3.18,21.14,4.18,21.28,13.96,14.6,2.136,0.918,84.31,0.386,172.21,9,0.508,1,130.7496
9260,Tomato,Sandy,87,272,15.3,66.13,6.23,3.23,29.01,0.8,25.16,9.39,17.23,2.581,0.801,72.36,0.805,115.58,2,0.523,0,0.0
5781,Wheat,Loamy,29,27,18.4,80.66,14.24,12.07,5.19,4.45,31.59,19.83,24.17,2.0,0.882,86.29,0.923,150.71,3,0.395,0,0.0
2595,Wheat,Clayey,116,129,26.3,93.92,0.83,0.75,22.18,2.5,41.24,20.65,32.32,2.069,0.45,86.57,0.394,170.29,8,0.37,0,0.0
7200,Rice,Clayey,59,245,18.25,94.48,1.99,1.32,27.18,4.98,35.11,22.6,30.66,2.597,1.164,74.89,0.81,164.64,5,0.45,0,0.0
3593,Maize,Sandy,120,26,36.54,32.6,3.1,2.66,15.38,0.74,24.2,13.28,23.89,2.659,0.54,70.97,0.583,154.32,5,0.571,0,0.0
5216,Rice,Clayey,98,165,20.17,35.56,0.7,0.65,6.29,3.3,36.71,23.62,30.93,2.522,0.809,73.22,0.682,120.35,5,0.376,1,220.2197
1030,Tomato,Clayey,21,112,28.23,36.46,1.09,0.58,16.64,0.9,36.23,20.26,32.37,2.0,0.741,74.67,1.09,84.77,3,0.368,0,0.0
7433,Rice,Silty,27,239,23.79,71.6,1.97,1.57,9.81,3.11,25.53,17.28,20.97,2.0,0.976,69.98,0.426,123.05,6,0.578,1,122.535
7877,Wheat,Loamy,88,248,25.26,80.45,1.97,1.51,20.01,2.65,37.14,16.42,37.14,2.083,0.632,69.32,0.896,127.81,2,0.546,0,0.0
8823,Tomato,Silty,62,191,24.57,81.87,1.36,0.71,10.04,4.68,25.32,15.84,16.35,2.421,0.996,75.81,0.703,97.01,3,0.519,1,339.2195
8236,Wheat,Silty,111,182,28.44,31.14,12.63,8.38,11.45,4.44,29.31,12.9,23.99,2.344,0.45,70.84,0.569,108.99,3,0.307,1,164.4737
5733,Wheat,Clayey,30,109,36.48,70.68,0.15,0.08,24.69,1.94,44.18,20.93,43.75,3.977,0.89,64.94,0.853,90.98,4,0.533,0,0.0
5378,Tomato,Loamy,63,159,22.95,85.13,1.0,0.48,6.62,3.44,31.77,17.9,24.73,2.46,0.988,69.55,0.43,101.63,8,0.492,1,185.9547
7762,Tomato,Clayey,37,141,32.34,87.17,0.77,0.63,24.73,2.65,38.36,18.03,31.86,2.542,0.915,82.39,0.743,99.04,9,0.558,0,0.0
1755,Wheat,Sandy,67,272,29.15,39.66,1.05,0.64,25.18,4.0,25.67,9.39,16.07,2.49,0.863,87.55,0.544,98.4,3,0.513,1,227.9335
7355,Tomato,Loamy,62,285,26.35,85.0,0.33,0.33,22.64,2.25,38.35,18.66,28.68,2.414,0.996,61.75,0.443,88.95,10,0.327,1,239.2543
4161,Rice,Silty,63,352,25.75,74.54,4.98,4.13,5.46,3.61,30.91,13.89,30.89,2.0,1.127,84.99,1.165,121.89,2,0.338,0,0.0
231,Wheat,Clayey,111,308,20.41,84.87,2.68,2.22,12.67,3.47,38.66,18.62,38.66,2.0,0.45,84.21,0.698,90.07,2,0.43,0,0.0
8104,Maize,Clayey,73,339,15.38,75.24,0.07,0.07,15.88,4.22,42.82,24.75,39.63,2.229,1.007,63.83,1.19,103.84,8,0.307,0,0.0
110,Wheat,Clayey,18,74,24.76,33.9,0.35,0.22,19.8,0.74,42.37,24.16,33.94,2.0,0.754,63.4,0.893,161.93,7,0.436,1,455.3971
5457,Rice,Sandy,92,280,36.04,94.02,6.1,5.97,24.68,0.65,29.6,11.0,27.41,2.792,0.864,89.64,0.341,81.73,9,0.46,0,0.0
6708,Tomato,Silty,7,232,24.79,84.94,0.74,0.56,28.58,2.84,32.87,15.99,24.52,2.776,0.447,83.09,1.141,155.75,4,0.497,1,456.2179
2514,Maize,Loamy,34,281,17.74,75.88,11.73,8.16,10.81,1.93,36.81,16.0,29.82,2.0,0.929,64.88,0.534,139.09,9,0.423,0,0.0
5961,Tomato,Loamy,66,49,24.17,93.74,4.04,4.0,5.58,4.63,31.13,17.77,20.68,2.0,0.964,78.98,0.521,168.12,5,0.506,1,320.8137
4279,Maize,Clayey,49,358,30.12,67.01,2.28,1.8,25.78,2.0,40.05,19.56,38.16,2.856,1.056,83.27,1.168,129.71,10,0.557,0,0.0
4720,Maize,Silty,54,143,29.89,33.31,0.84,0.59,26.04,2.55,31.04,13.07,20.55,2.89,1.099,72.1,1.055,104.15,10,0.465,1,603.2698
2917,Tomato,Silty,55,268,25.6,80.37,2.15,1.25,7.26,3.65,34.63,13.47,31.93,2.0,1.05,63.36,0.874,118.92,6,0.312,0,0.0
9390,Maize,Sandy,97,148,36.77,56.55,0.21,0.13,5.15,4.82,23.01,12.92,18.74,2.493,0.743,72.89,1.153,101.32,5,0.46,1,294.0361
2992,Rice,Silty,53,230,33.4,63.46,2.83,1.26,29.45,0.68,32.27,17.1,29.47,2.65,1.184,60.55,0.501,134.05,4,0.547,0,0.0
2317,Maize,Silty,29,136,37.98,56.89,6.91,3.66,7.78,4.44,32.08,17.9,19.02,2.556,0.875,83.68,0.673,149.86,7,0.59,1,409.5918
4847,Maize,Silty,8,130,24.95,63.07,0.01,0.0,10.23,2.12,25.27,16.72,20.89,2.038,0.459,77.76,0.74,81.85,7,0.368,1,158.616
4292,Wheat,Silty,120,117,30.65,30.4,4.79,3.37,19.14,0.54,30.19,14.97,21.75,2.228,0.45,65.38,0.574,170.18,1,0.5,1,293.4986
6991,Wheat,Clayey,64,271,21.74,72.4,10.63,10.23,19.29,2.87,35.93,19.65,27.37,2.501,0.896,73.07,0.537,171.05,1,0.378,1,264.8628
1515,Rice,Clayey,31,203,37.73,34.38,3.59,3.42,16.62,3.88,42.17,18.54,23.86,3.022,1.008,85.15,0.92,178.06,6,0.501,1,827.8338
216,Wheat,Silty,18,183,28.34,83.08,8.25,5.1,13.0,1.74,27.37,15.83,27.37,2.729,0.754,74.38,0.834,124.29,10,0.396,0,0.0
9213,Rice,Silty,60,75,20.5,94.57,0.2,0.11,6.59,3.17,29.73,16.67,27.45,2.0,1.155,72.69,0.309,120.16,5,0.411,0,0.0
9061,Wheat,Clayey,115,5,18.16,79.55,5.91,2.72,21.88,3.87,41.88,18.41,36.24,2.444,0.45,85.92,0.351,134.33,10,0.487,0,0.0
8417,Wheat,Sandy,15,139,15.61,39.8,4.32,4.3,24.77,2.83,24.97,11.86,22.78,2.0,0.67,86.36,0.702,168.81,6,0.373,0,0.0
2263,Rice,Loamy,82,47,17.31,47.54,0.72,0.66,19.99,2.86,31.81,17.7,27.11,2.425,0.955,63.57,1.045,176.83,5,0.51,0,0.0
5326,Maize,Loamy,58,7,29.87,85.01,8.94,8.1,14.19,4.54,31.37,18.05,22.08,2.0,1.133,62.03,0.347,161.78,6,0.472,0,0.0
6840,Rice,Loamy,74,63,24.46,76.88,5.14,3.02,19.77,4.39,34.55,17.98,28.56,2.881,1.027,89.09,0.444,167.1,5,0.359,0,0.0
8498,Tomato,Loamy,85,128,27.58,50.89,17.47,8.23,16.24,2.3,35.65,18.49,21.7,2.887,0.817,62.54,0.58,94.35,1,0.42,1,536.1701
6010,Wheat,Silty,70,112,16.99,34.09,2.21,1.65,24.98,4.1,25.96,14.84,22.31,2.116,0.83,64.83,0.379,159.02,1,0.535,0,0.0
893,Maize,Loamy,54,67,32.16,78.64,1.2,1.11,23.19,0.91,38.04,19.71,28.29,2.507,1.099,85.09,1.027,166.67,10,0.486,1,492.5324
1490,Maize,Silty,40,65,31.67,47.8,0.84,0.59,14.88,2.12,27.84,17.08,17.08,2.428,0.98,84.82,1.003,139.78,3,0.302,1,458.8954
3003,Wheat,Sandy,18,348,26.13,62.44,0.46,0.2,20.85,3.69,24.44,8.37,20.73,2.298,0.754,70.9,0.624,143.42,2,0.536,0,0.0
1850,Tomato,Clayey,94,272,24.0,65.73,2.89,1.26,6.17,3.58,35.4,23.73,28.74,2.131,0.747,68.71,0.72,176.09,7,0.319,1,253.9846
5199,Wheat,Sandy,1,258,36.46,74.62,5.03,3.13,18.41,3.41,22.99,14.32,17.61,3.709,0.3,62.73,0.734,122.91,4,0.455,1,274.8852
6380,Tomato,Silty,102,252,22.66,84.68,4.92,3.9,14.25,3.28,33.35,13.44,28.19,2.848,0.63,89.92,0.966,142.74,8,0.456,0,0.0
324,Rice,Loamy,79,120,19.51,43.37,0.18,0.12,18.82,3.82,39.24,18.66,29.6,2.215,0.982,72.87,0.885,136.86,8,0.598,1,66.3795
1215,Maize,Loamy,82,12,23.01,91.88,6.34,4.22,17.87,0.83,32.31,19.29,26.91,2.0,0.908,68.02,0.559,174.62,4,0.511,0,0.0
2899,Rice,Silty,71,144,21.42,92.04,7.84,7.82,19.53,1.02,34.77,12.06,19.21,2.278,1.055,84.11,0.596,119.89,1,0.342,1,438.9224
2933,Maize,Sandy,111,99,20.97,31.06,3.9,3.18,15.63,0.91,22.4,8.15,16.14,2.052,0.54,69.7,0.767,120.1,7,0.389,0,0.0
3658,Wheat,Loamy,52,163,20.77,46.8,0.81,0.45,26.6,1.69,38.15,15.42,24.73,2.288,1.028,78.66,0.321,162.37,7,0.3,1,188.3826
8678,Maize,Clayey,109,65,24.95,91.54,1.74,0.86,20.41,3.95,40.55,24.1,35.53,2.923,0.611,78.44,0.38,169.7,5,0.582,1,16.6132
6673,Wheat,Silty,67,342,15.69,65.18,4.43,2.62,12.96,4.02,30.65,14.44,26.13,2.0,0.863,73.65,0.77,106.32,5,0.454,0,0.0
7972,Wheat,Clayey,39,289,24.31,91.27,1.19,0.55,8.74,2.21,35.05,21.74,28.95,2.0,0.962,65.31,0.927,152.76,4,0.347,1,350.0263
8586,Rice,Loamy,71,271,32.83,60.55,0.14,0.06,12.88,4.46,33.56,18.0,21.36,2.366,1.055,89.19,0.596,99.46,4,0.576,0,0.0
6169,Rice,Silty,50,38,18.41,35.64,3.93,2.48,16.21,3.97,30.07,16.83,22.57,2.0,1.16,85.67,0.361,82.33,9,0.371,1,137.536
9724,Tomato,Loamy,25,169,22.92,42.83,0.12,0.1,17.21,3.15,35.65,19.51,31.58,2.355,0.825,83.38,0.416,85.38,9,0.482,1,13.1542
1129,Rice,Sandy,2,220,19.86,69.61,7.69,7.09,20.22,4.26,26.3,9.99,26.3,2.037,0.445,81.44,0.949,133.08,3,0.559,0,0.0
8856,Rice,Clayey,67,293,22.98,85.12,1.87,1.75,13.42,3.24,35.81,19.01,25.15,2.263,1.091,68.39,0.573,92.16,2,0.483,1,307.2248
2918,Wheat,Clayey,39,325,35.69,62.77,3.94,2.9,10.52,4.31,44.47,22.78,39.14,2.422,0.962,68.27,0.855,173.54,7,0.526,0,0.0
3902,Wheat,Silty,45,360,22.64,67.41,11.31,8.23,25.97,4.61,30.89,13.9,18.94,2.65,1.01,70.54,0.973,114.67,6,0.392,1,641.2839
7947,Tomato,Loamy,67,80,22.51,92.75,9.45,6.63,15.86,1.53,31.74,15.91,21.06,2.0,0.957,61.82,1.106,87.69,10,0.409,1,771.3467
9097,Maize,Silty,59,216,36.83,79.48,3.2,2.64,14.56,4.58,30.02,16.17,27.01,2.726,1.141,64.14,0.971,94.6,10,0.404,0,0.0
3827,Tomato,Loamy,44,281,25.28,53.12,0.12,0.08,27.15,4.25,36.4,17.93,23.52,3.007,0.967,63.14,1.01,138.21,8,0.567,0,0.0
4923,Rice,Loamy,8,95,35.93,54.33,1.94,0.95,27.61,1.97,38.13,19.85,29.19,2.868,0.579,82.16,1.101,151.54,5,0.369,1,506.8526
208,Rice,Silty,19,104,26.27,92.46,5.8,2.64,8.21,3.42,31.16,17.88,25.45,2.243,0.826,74.29,0.661,179.63,3,0.418,1,210.3674
3254,Wheat,Sandy,11,301,15.68,51.89,0.15,0.12,10.65,0.7,26.97,14.15,15.5,2.0,0.558,86.22,1.18,131.02,5,0.471,1,715.1364
2795,Wheat,Silty,99,266,31.65,86.14,2.89,1.41,25.54,1.26,28.26,13.55,21.65,2.751,0.511,63.29,0.8,146.5,1,0.311,1,308.8197
5106,Maize,Silty,14,238,26.87,83.85,0.06,0.05,20.84,4.26,28.01,15.16,21.55,2.505,0.578,89.86,0.509,144.3,5,0.392,1,154.4782
9011,Maize,Sandy,52,161,33.48,64.08,3.69,1.9,6.05,2.12,27.36,10.0,10.61,2.421,1.082,66.05,0.441,153.38,5,0.472,1,446.5003
798,Maize,Sandy,38,62,18.73,40.24,2.53,1.9,20.05,0.55,28.22,11.86,25.71,2.531,0.963,81.18,0.495,148.87,5,0.461,0,0.0
9105,Maize,Clayey,52,190,21.14,53.74,14.22,6.42,7.3,2.78,36.33,23.95,24.32,2.071,1.082,66.98,0.338,140.35,10,0.374,0,0.0
734,Rice,Loamy,117,39,31.35,35.8,9.11,8.36,15.15,1.76,36.92,16.58,30.11,2.444,0.63,69.38,1.044,137.96,4,0.484,0,0.0
2244,Wheat,Sandy,1,185,36.56,57.14,1.2,0.62,26.55,3.59,21.67,12.08,17.98,4.595,0.3,75.73,0.657,161.43,7,0.304,1,144.9758
178,Maize,Sandy,74,238,35.37,91.79,0.39,0.35,29.33,1.05,27.43,11.59,25.15,3.775,0.996,62.38,0.656,116.91,1,0.318,0,0.0
5830,Tomato,Silty,40,10,15.87,53.66,3.84,3.55,13.81,0.83,30.88,12.32,30.88,2.387,0.938,72.51,1.031,92.3,3,0.487,0,0.0
7008,Rice,Loamy,46,169,22.27,46.5,2.26,1.33,26.3,1.18,37.05,15.53,23.72,2.33,1.128,87.24,0.744,121.25,5,0.57,1,475.4877
1174,Maize,Silty,90,232,24.27,94.62,6.04,2.79,15.78,1.71,29.5,16.56,26.37,2.0,0.82,71.37,0.589,95.54,4,0.386,0,0.0
6642,Maize,Clayey,92,320,35.07,71.81,0.93,0.6,28.59,0.99,39.59,21.42,31.26,3.927,0.798,89.33,0.415,98.46,6,0.375,0,0.0
5848,Rice,Sandy,63,315,25.6,51.1,0.18,0.15,30.0,1.57,21.69,13.93,17.37,2.807,1.127,88.24,0.898,176.28,1,0.548,1,197.3543
1831,Maize,Clayey,83,176,28.18,77.23,4.3,3.11,18.25,1.3,41.93,21.16,27.39,2.521,0.897,75.38,0.553,88.96,9,0.323,1,441.4614
7995,Tomato,Silty,93,319,17.93,52.97,0.5,0.34,16.95,1.9,33.31,16.19,25.7,2.314,0.754,69.05,0.449,146.12,8,0.593,0,0.0
9279,Tomato,Sandy,54,178,32.92,54.66,1.01,0.9,23.42,4.34,26.91,12.13,18.52,2.51,1.042,79.62,0.775,150.82,3,0.426,1,323.3214
7897,Rice,Clayey,78,160,28.94,56.79,0.64,0.6,24.54,1.02,40.87,18.72,27.65,2.0,0.991,69.98,0.755,150.6,5,0.4,1,595.8344
8597,Tomato,Silty,29,214,37.28,31.14,0.99,0.89,28.14,4.96,25.29,14.06,15.13,3.688,0.855,70.5,0.761,133.16,2,0.46,1,464.4479
8522,Wheat,Sandy,48,317,19.82,60.86,0.96,0.75,27.31,1.4,24.45,14.36,21.19,2.0,1.034,67.0,0.732,168.18,7,0.549,0,0.0
198,Maize,Clayey,52,262,17.08,40.42,10.25,7.34,15.34,4.13,39.73,19.77,31.75,2.0,1.082,76.06,0.522,145.72,4,0.4,0,0.0
7928,Rice,Loamy,107,71,16.6,65.2,4.92,2.85,15.36,2.92,39.6,15.6,27.46,2.0,0.727,64.88,1.132,87.41,2,0.368,1,850.7674
7076,Maize,Silty,53,43,30.72,64.69,8.96,6.61,15.43,1.07,34.76,12.97,34.18,2.0,1.09,84.21,0.306,112.5,8,0.31,0,0.0
9284,Tomato,Clayey,54,362,27.32,54.07,1.67,1.48,28.85,1.17,39.14,18.92,19.53,3.316,1.042,82.86,0.81,83.35,9,0.429,1,849.4625
1097,Rice,Sandy,8,147,28.48,32.64,4.0,2.49,29.63,3.53,23.09,14.78,19.45,2.891,0.579,72.28,0.998,117.22,2,0.538,0,0.0
548,Rice,Loamy,31,58,35.15,76.56,0.29,0.26,16.48,1.78,34.2,19.16,31.36,3.014,1.008,70.08,0.968,174.05,4,0.43,0,0.0
6908,Tomato,Loamy,3,247,33.72,75.58,1.3,1.03,15.51,1.19,39.95,18.07,19.3,3.215,0.363,73.65,0.575,174.16,10,0.412,1,659.9921
8229,Wheat,Sandy,102,299,33.77,44.63,5.07,3.34,12.7,3.46,25.61,14.18,14.18,2.91,0.45,85.95,0.537,122.28,5,0.439,1,276.7989
4706,Wheat,Silty,53,176,33.95,36.53,5.04,2.8,10.62,2.38,33.13,17.74,22.03,2.625,1.017,61.61,0.641,127.74,10,0.338,1,442.6611
6912,Maize,Loamy,44,358,24.53,61.76,0.85,0.5,18.04,3.52,31.24,15.87,21.1,2.0,1.014,69.72,0.51,108.16,1,0.374,1,280.9851
3369,Maize,Loamy,109,181,19.05,83.53,1.38,1.35,15.68,3.64,38.83,18.55,25.14,2.0,0.611,74.81,1.02,92.78,1,0.312,1,856.4137
7583,Tomato,Silty,62,314,34.58,51.76,0.66,0.61,27.93,4.02,25.55,13.3,19.6,3.07,0.996,68.02,0.607,85.84,1,0.539,1,211.8368
2532,Wheat,Clayey,67,30,29.21,84.4,0.51,0.3,17.04,3.16,44.29,22.28,31.23,2.569,0.863,75.58,0.948,91.28,3,0.483,1,593.7499
4055,Maize,Silty,21,341,31.12,35.12,2.94,1.54,14.94,3.69,25.84,15.15,21.64,2.402,0.716,79.28,0.891,157.5,3,0.324,1,206.6104
2314,Tomato,Sandy,49,138,33.64,82.3,4.13,3.77,9.24,3.57,20.75,9.5,18.24,2.0,1.005,83.59,0.824,104.82,10,0.411,0,0.0
6653,Wheat,Silty,86,168,19.58,35.27,0.04,0.02,15.16,0.55,34.29,14.38,20.82,2.0,0.654,78.8,0.977,131.21,3,0.543,0,0.0
6885,Maize,Silty,107,289,33.12,34.72,3.02,2.75,22.3,3.27,32.68,14.55,26.99,3.707,0.633,70.98,0.514,143.24,8,0.373,0,0.0
5937,Wheat,Sandy,91,308,37.4,80.29,0.39,0.34,22.05,3.75,29.87,14.43,15.03,2.342,0.599,89.1,0.944,81.37,7,0.528,1,638.6988
2815,Wheat,Clayey,30,27,33.34,71.72,3.06,1.43,9.33,3.48,42.3,19.54,39.58,2.948,0.89,70.1,0.403,162.76,7,0.326,0,0.0
3437,Tomato,Silty,90,218,26.37,47.41,8.29,7.78,26.69,4.16,27.44,13.29,16.46,3.314,0.778,77.1,0.748,157.7,6,0.362,1,393.5489
3880,Rice,Clayey,22,103,27.63,81.7,1.39,1.29,12.1,3.87,35.45,21.96,33.46,3.109,0.893,72.33,0.561,168.87,7,0.446,0,0.0
4157,Wheat,Clayey,87,225,31.87,80.18,0.1,0.04,14.36,3.72,39.42,21.39,22.36,2.401,0.643,70.59,0.949,108.03,2,0.504,1,932.3027
66,Wheat,Silty,69,255,21.55,72.05,0.19,0.15,29.19,1.67,34.04,17.6,24.22,2.736,0.841,83.59,1.126,95.14,8,0.427,1,613.4717
7866,Tomato,Sandy,4,312,26.23,70.01,8.39,5.31,21.47,3.76,22.44,9.69,13.78,2.757,0.384,81.08,0.901,100.84,4,0.321,1,350.5867
616,Maize,Clayey,79,85,27.03,63.09,0.11,0.08,27.05,0.73,43.02,22.07,30.27,3.317,0.941,67.63,0.479,88.71,1,0.315,1,341.4178
1118,Maize,Loamy,58,285,31.84,75.48,2.29,1.68,21.79,1.51,33.52,16.7,28.83,2.543,1.133,61.54,0.641,122.68,10,0.517,0,0.0
3260,Wheat,Sandy,85,273,26.52,73.27,0.38,0.37,12.75,1.58,28.28,13.34,19.73,2.0,0.665,78.65,0.3,122.7,5,0.328,1,126.1421
3401,Wheat,Silty,91,336,33.95,34.52,2.92,2.49,14.31,3.79,33.26,16.26,27.22,2.204,0.599,82.12,0.313,134.0,2,0.422,0,0.0
3692,Maize,Clayey,37,252,32.01,45.95,1.9,1.08,9.97,3.46,41.24,22.23,38.26,2.255,0.954,88.61,0.486,107.75,1,0.47,0,0.0
937,Maize,Loamy,59,347,24.43,65.44,0.3,0.14,23.36,4.63,32.25,18.34,21.57,2.582,1.141,78.62,0.682,112.13,9,0.365,1,410.9505
6604,Tomato,Silty,45,337,15.44,90.48,6.05,3.92,17.19,4.48,26.61,16.51,25.39,2.0,0.975,73.73,0.896,112.6,10,0.43,0,0.0
2572,Maize,Loamy,78,307,30.35,37.6,1.12,0.56,28.67,2.63,31.95,17.04,29.38,3.279,0.952,67.43,0.856,129.38,3,0.531,0,0.0
7536,Maize,Clayey,77,221,27.14,70.7,1.5,0.99,21.22,1.84,36.48,23.98,28.77,2.387,0.963,61.06,0.503,148.49,1,0.407,1,221.4038
6324,Wheat,Sandy,45,22,32.87,89.61,5.3,3.62,27.12,3.5,28.27,9.03,18.13,4.005,1.01,63.43,0.697,116.23,7,0.567,0,0.0
622,Tomato,Loamy,13,216,21.82,50.72,1.24,0.58,7.65,2.08,35.94,17.17,30.38,2.0,0.573,85.47,0.423,170.57,5,0.599,0,0.0
1681,Rice,Clayey,51,186,31.72,90.52,0.33,0.16,7.41,1.88,35.71,18.32,30.2,2.0,1.168,67.98,0.693,116.39,8,0.349,1,211.0225
2126,Maize,Loamy,56,74,23.42,43.98,5.33,2.6,10.87,4.12,37.65,18.18,32.45,2.0,1.116,72.48,0.353,137.47,9,0.552,0,0.0
